function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,512,32768,512,64,46007,15240,15210.6,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,64,44745,15652.7,15627,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,512,64,45680,15358.2,15333.7,ns,,,,,,2.53906,1,378200
TestBloomFilterStringQuery,8,262144,512,64,45545,15381.5,15361.6,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,512,64,44446,15758.3,15713.4,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,512,64,43555,16130.4,16065.2,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,512,64,42646,16485.2,16402.5,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,512,64,45892,15272.6,15250.7,ns,,,,,,0.585938,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,512,64,44813,15644.9,15615.9,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,512,64,42880,16405.5,16351.1,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,512,64,41374,16991,16911.1,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,512,64,40316,17488.1,17412.7,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,4096,64,5778,121186,121168,ns,,,,,,100,1,1448
TestBloomFilterStringQuery,8,1000,4096,64,2436,287338,287326,ns,,,,,,100,3,4328
TestBloomFilterStringQuery,64,1000,4096,64,1912,364910,364889,ns,,,,,,49.6582,6,8656
TestBloomFilterStringQuery,512,1000,4096,64,965,725457,725444,ns,,,,,,75.1709,9,12984
TestBloomFilterStringQuery,2048,1000,4096,64,1999,350196,350183,ns,,,,,,25,11,15872
TestBloomFilterStringQuery,2,4096,4096,64,5807,120541,120531,ns,,,,,,99.8047,1,5912
TestBloomFilterStringQuery,8,4096,4096,64,4060,172425,172414,ns,,,,,,25,3,17728
TestBloomFilterStringQuery,64,4096,4096,64,3239,216136,216123,ns,,,,,,24.0967,6,35456
TestBloomFilterStringQuery,512,4096,4096,64,2588,270531,270517,ns,,,,,,20.5322,9,53184
TestBloomFilterStringQuery,2048,4096,4096,64,2399,291620,291605,ns,,,,,,2.44141,11,65008
TestBloomFilterStringQuery,2,32768,4096,64,5700,122765,122748,ns,,,,,,38.1592,1,47280
TestBloomFilterStringQuery,8,32768,4096,64,4290,163183,163170,ns,,,,,,13.4521,3,141824
TestBloomFilterStringQuery,64,32768,4096,64,4829,144779,144758,ns,,,,,,0.610352,6,283648
TestBloomFilterStringQuery,512,32768,4096,64,5216,134147,134125,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,4096,64,4819,145243,145216,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,4096,64,5855,119516,119503,ns,,,,,,9.25293,1,378200
TestBloomFilterStringQuery,8,262144,4096,64,5551,126127,126100,ns,,,,,,0.195312,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,4096,64,5784,121011,120943,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,4096,64,5625,124511,124426,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,4096,64,5630,124470,124387,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,4096,64,6022,116220,116200,ns,,,,,,2.05078,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,4096,64,5407,129532,129471,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,4096,64,5439,128656,128580,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,4096,64,5437,128935,128859,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,4096,64,5363,130533,130460,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8192,64,2902,241254,241243,ns,,,,,,100,1,1448
TestBloomFilterStringQuery,8,1000,8192,64,1221,573541,573536,ns,,,,,,100,3,4328
TestBloomFilterStringQuery,64,1000,8192,64,959,730282,730270,ns,,,,,,50,6,8656
TestBloomFilterStringQuery,512,1000,8192,64,434,1.61373e+06,1.61371e+06,ns,,,,,,98.3887,9,12984
TestBloomFilterStringQuery,2048,1000,8192,64,1001,699277,699253,ns,,,,,,25,11,15872
TestBloomFilterStringQuery,2,4096,8192,64,2920,239788,239779,ns,,,,,,100,1,5912
TestBloomFilterStringQuery,8,4096,8192,64,2037,343755,343742,ns,,,,,,25,3,17728
TestBloomFilterStringQuery,64,4096,8192,64,1612,434229,434205,ns,,,,,,24.9268,6,35456
TestBloomFilterStringQuery,512,4096,8192,64,1231,568969,568949,ns,,,,,,24.5239,9,53184
TestBloomFilterStringQuery,2048,4096,8192,64,773,905603,905592,ns,,,,,,24.939,11,65008
TestBloomFilterStringQuery,2,32768,8192,64,2981,234822,234812,ns,,,,,,47.3633,1,47280
TestBloomFilterStringQuery,8,32768,8192,64,2061,339617,339608,ns,,,,,,21.582,3,141824
TestBloomFilterStringQuery,64,32768,8192,64,1960,357145,357129,ns,,,,,,5.85938,6,283648
TestBloomFilterStringQuery,512,32768,8192,64,2060,339809,339786,ns,,,,,,0.732422,9,425472
TestBloomFilterStringQuery,2048,32768,8192,64,1955,358179,358151,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8192,64,2819,248359,248344,ns,,,,,,16.9312,1,378200
TestBloomFilterStringQuery,8,262144,8192,64,2513,278616,278583,ns,,,,,,0.354004,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8192,64,2732,256350,256278,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8192,64,2784,251672,251580,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8192,64,2805,249622,249528,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8192,64,2989,234269,234239,ns,,,,,,4.37012,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8192,64,2654,263776,263722,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8192,64,2728,256662,256592,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8192,64,2732,256388,256299,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8192,64,2702,259071,258994,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8,100,562476,1243.54,1242.79,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,100,557492,1254.57,1253.82,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,100,560109,1258.34,1257.08,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,100,563089,1245.71,1244.75,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,100,517199,1250.04,1248.64,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,100,560663,1257.05,1255.97,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,100,557838,1252.16,1251.13,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,100,562034,1247.82,1246.78,ns,,,,,,0,6,35456
