function,inv_max_fpr,projected_eles,batch_size,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2048,8,29318,2,3.68399e+08,3.68073e+08,ns,,,,,,100,11,128
TestBloomFilterStringQuery,2,64,29318,2,3.5329e+08,3.53179e+08,ns,,,,,,100,1,96
TestBloomFilterStringQuery,8,64,29318,2,3.57623e+08,3.57483e+08,ns,,,,,,100,3,280
TestBloomFilterStringQuery,64,64,29318,2,3.67363e+08,3.67138e+08,ns,,,,,,100,6,560
TestBloomFilterStringQuery,512,64,29318,2,3.67182e+08,3.67099e+08,ns,,,,,,100,9,832
TestBloomFilterStringQuery,2048,64,29318,2,3.66704e+08,3.66605e+08,ns,,,,,,100,11,1016
TestBloomFilterStringQuery,2,512,29318,2,3.62461e+08,3.62332e+08,ns,,,,,,100,1,744
TestBloomFilterStringQuery,8,512,29318,2,3.60281e+08,3.60153e+08,ns,,,,,,100,3,2216
TestBloomFilterStringQuery,64,512,29318,2,3.54886e+08,3.54868e+08,ns,,,,,,100,6,4432
TestBloomFilterStringQuery,512,512,29318,2,3.65417e+08,3.65246e+08,ns,,,,,,100,9,6648
TestBloomFilterStringQuery,2048,512,29318,2,3.65389e+08,3.65334e+08,ns,,,,,,100,11,8128
TestBloomFilterStringQuery,2,4096,29318,2,3.5948e+08,3.59418e+08,ns,,,,,,96.2549,1,5912
TestBloomFilterStringQuery,8,4096,29318,2,3.63528e+08,3.63484e+08,ns,,,,,,89.6071,3,17728
TestBloomFilterStringQuery,64,4096,29318,2,3.65701e+08,3.65559e+08,ns,,,,,,37.6799,6,35456
TestBloomFilterStringQuery,512,4096,29318,2,3.62872e+08,3.62796e+08,ns,,,,,,30.6672,9,53184
TestBloomFilterStringQuery,2048,4096,29318,2,3.66732e+08,3.66501e+08,ns,,,,,,26.7822,11,65008
TestBloomFilterStringQuery,2,32768,29318,2,3.55044e+08,3.55029e+08,ns,,,,,,16.1539,1,47280
TestBloomFilterStringQuery,8,32768,29318,2,3.56371e+08,3.56275e+08,ns,,,,,,1.50078,3,141824
TestBloomFilterStringQuery,64,32768,29318,2,3.57429e+08,3.57055e+08,ns,,,,,,0.027287,6,283648
TestBloomFilterStringQuery,512,32768,29318,2,3.59419e+08,3.59373e+08,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,29318,2,3.55077e+08,3.55039e+08,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,60000,29318,2,3.6469e+08,3.64465e+08,ns,,,,,,9.51293,1,86568
TestBloomFilterStringQuery,8,60000,29318,2,3.54453e+08,3.54401e+08,ns,,,,,,0.269459,3,259688
TestBloomFilterStringQuery,64,60000,29318,2,3.60792e+08,3.60715e+08,ns,,,,,,0.00341087,6,519376
TestBloomFilterStringQuery,512,60000,29318,2,3.6032e+08,3.6026e+08,ns,,,,,,0,9,779056
TestBloomFilterStringQuery,2048,60000,29318,2,3.57164e+08,3.57093e+08,ns,,,,,,0,11,952184
