2020-03-09 20:40:53
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.43, 2.61, 2.40
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/64/4/29318",1,9.0443e+09,9.03779e+09,ns,,,,,,100,6,40
"MyFixtureLearned/TestBloomFilterStringQuery/512/4/29318",1,1.49646e+10,1.46085e+10,ns,,,,,,100,9,56
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4/29318",1,1.30208e+10,1.29276e+10,ns,,,,,,100,11,64
"MyFixtureLearned/TestBloomFilterStringQuery/2/8/29318",1,1.75731e+10,1.70611e+10,ns,,,,,,100,1,16
"MyFixtureLearned/TestBloomFilterStringQuery/8/8/29318",1,2.58448e+10,2.33437e+10,ns,,,,,,100,3,40
"MyFixtureLearned/TestBloomFilterStringQuery/64/8/29318",1,1.64326e+10,1.60795e+10,ns,,,,,,100,6,72
"MyFixtureLearned/TestBloomFilterStringQuery/512/8/29318",1,2.17677e+10,2.08077e+10,ns,,,,,,100,9,104
"MyFixtureLearned/TestBloomFilterStringQuery/2048/8/29318",1,1.45036e+10,1.42155e+10,ns,,,,,,100,11,128
"MyFixtureLearned/TestBloomFilterStringQuery/2/64/29318",1,1.09016e+10,1.08797e+10,ns,,,,,,100,1,96
"MyFixtureLearned/TestBloomFilterStringQuery/8/64/29318",1,1.6007e+10,1.55285e+10,ns,,,,,,100,3,280
"MyFixtureLearned/TestBloomFilterStringQuery/64/64/29318",1,1.44951e+10,1.42844e+10,ns,,,,,,100,6,560
"MyFixtureLearned/TestBloomFilterStringQuery/512/64/29318",1,1.34721e+10,1.33465e+10,ns,,,,,,100,9,832
"MyFixtureLearned/TestBloomFilterStringQuery/2048/64/29318",1,1.21675e+10,1.21241e+10,ns,,,,,,100,11,1016
"MyFixtureLearned/TestBloomFilterStringQuery/2/512/29318",1,1.31863e+10,1.30334e+10,ns,,,,,,88.6213,1,744
"MyFixtureLearned/TestBloomFilterStringQuery/8/512/29318",1,1.36482e+10,1.35131e+10,ns,,,,,,28.6582,3,2216
"MyFixtureLearned/TestBloomFilterStringQuery/64/512/29318",1,1.06158e+10,1.05986e+10,ns,,,,,,16.0925,6,4432
"MyFixtureLearned/TestBloomFilterStringQuery/512/512/29318",1,1.39756e+10,1.37722e+10,ns,,,,,,8.49649,9,6648
"MyFixtureLearned/TestBloomFilterStringQuery/2048/512/29318",1,1.15819e+10,1.14769e+10,ns,,,,,,50.6242,11,8128
"MyFixtureLearned/TestBloomFilterStringQuery/2/4096/29318",1,9.29876e+09,9.27013e+09,ns,,,,,,56.0918,1,5912
"MyFixtureLearned/TestBloomFilterStringQuery/8/4096/29318",1,1.05687e+10,1.05078e+10,ns,,,,,,2.6025,3,17728
"MyFixtureLearned/TestBloomFilterStringQuery/64/4096/29318",1,1.06897e+10,1.05987e+10,ns,,,,,,2.29552,6,35456
"MyFixtureLearned/TestBloomFilterStringQuery/512/4096/29318",1,1.5731e+10,1.55875e+10,ns,,,,,,2.29211,9,53184
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4096/29318",1,1.04262e+10,1.04117e+10,ns,,,,,,2.29211,11,65008
"MyFixtureLearned/TestBloomFilterStringQuery/2/32768/29318",1,1.01959e+10,1.01783e+10,ns,,,,,,3.48932,1,47280
"MyFixtureLearned/TestBloomFilterStringQuery/8/32768/29318",1,9.84868e+09,9.8395e+09,ns,,,,,,2.29211,3,141824
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/29318",1,9.98538e+09,9.95595e+09,ns,,,,,,2.29211,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/29318",1,9.94122e+09,9.9288e+09,ns,,,,,,2.29211,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/2048/32768/29318",1,9.87307e+09,9.85281e+09,ns,,,,,,2.29211,11,520016
"MyFixtureLearned/TestBloomFilterStringQuery/2/60000/29318",1,9.94657e+09,9.93773e+09,ns,,,,,,2.96746,1,86568
"MyFixtureLearned/TestBloomFilterStringQuery/8/60000/29318",1,9.91569e+09,9.90611e+09,ns,,,,,,2.29211,3,259688
"MyFixtureLearned/TestBloomFilterStringQuery/64/60000/29318",1,1.04444e+10,1.04227e+10,ns,,,,,,2.29211,6,519376
"MyFixtureLearned/TestBloomFilterStringQuery/512/60000/29318",1,1.03639e+10,1.03408e+10,ns,,,,,,2.29211,9,779056
"MyFixtureLearned/TestBloomFilterStringQuery/2048/60000/29318",1,1.00598e+10,1.00502e+10,ns,,,,,,2.29211,11,952184
