2019-11-18 15:38:51
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.06, 2.73, 3.37
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/32768",22,2.32235e+07,2.31611e+07,ns,,,,,,0,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/32768",30,2.08854e+07,2.05399e+07,ns,,,,,,0,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/32768",32,2.03189e+07,1.99482e+07,ns,,,,,,0,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/32768",34,2.02757e+07,1.95855e+07,ns,,,,,,0,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/32768",34,1.84984e+07,1.84821e+07,ns,,,,,,0,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/32768",35,1.87787e+07,1.86347e+07,ns,,,,,,0,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/32768",36,1.93456e+07,1.9019e+07,ns,,,,,,0,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/32768",36,2.05486e+07,2.02734e+07,ns,,,,,,0,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/32768",30,2.50275e+07,2.40862e+07,ns,,,,,,0,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/32768",32,2.63504e+07,2.50252e+07,ns,,,,,,0,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/32768",27,2.75741e+07,2.61353e+07,ns,,,,,,0,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/32768",19,5.60789e+07,4.70429e+07,ns,,,,,,0,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/32768",20,3.32508e+07,3.16836e+07,ns,,,,,,0,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/32768",12,5.20782e+07,4.57662e+07,ns,,,,,,0,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/32768",19,4.64068e+07,3.93541e+07,ns,,,,,,0,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/32768",25,3.41866e+07,3.16056e+07,ns,,,,,,0,13,1.57517e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/131072",5,1.07756e+08,1.07157e+08,ns,,,,,,99.8787,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/131072",6,1.20885e+08,1.14503e+08,ns,,,,,,99.9535,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/131072",4,1.93687e+08,1.60592e+08,ns,,,,,,99.9039,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/131072",4,2.14995e+08,1.86236e+08,ns,,,,,,99.897,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/131072",4,1.90468e+08,1.88391e+08,ns,,,,,,99.8711,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/131072",5,1.18801e+08,1.17756e+08,ns,,,,,,76.9882,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/131072",6,1.19415e+08,1.16891e+08,ns,,,,,,67.9466,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/131072",6,1.24613e+08,1.23705e+08,ns,,,,,,56.4041,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/131072",5,1.23582e+08,1.18329e+08,ns,,,,,,46.1555,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/131072",5,1.46574e+08,1.33851e+08,ns,,,,,,43.4448,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/131072",6,1.46673e+08,1.23466e+08,ns,,,,,,1.95236,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/131072",6,1.03985e+08,1.01346e+08,ns,,,,,,0.0724792,6,2.26917e+06
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/131072",7,1.18443e+08,1.10767e+08,ns,,,,,,0.00152588,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/131072",6,1.21804e+08,1.07578e+08,ns,,,,,,0.000762939,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/131072",6,1.33634e+08,1.18714e+08,ns,,,,,,0.000762939,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/131072",5,1.70645e+08,1.43301e+08,ns,,,,,,0.00686646,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/131072",4,1.49263e+08,1.44387e+08,ns,,,,,,0.000762939,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/131072",3,3.5014e+08,2.15841e+08,ns,,,,,,0.000762939,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/131072",4,1.72098e+08,1.58643e+08,ns,,,,,,0.000762939,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/131072",5,1.22037e+08,1.19559e+08,ns,,,,,,0.000762939,13,3.93322e+07
