2020-04-17 11:04:25
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 1.54, 2.02, 2.53
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","lbf_size","num_hashes","table_size","target_fpr","tau"
"MyFixtureLearned/TestBloomFilterStringQuery/3/14",1,4.70402e+09,4.70048e+09,ns,,,,,,5.3927,88628,5,70352,0.0448379,0.6
"MyFixtureLearned/TestBloomFilterStringQuery/3/15",1,4.70516e+09,4.70279e+09,ns,,,,,,5.09771,88628,5,70352,0.0448379,0.625
"MyFixtureLearned/TestBloomFilterStringQuery/3/16",1,4.67116e+09,4.66846e+09,ns,,,,,,4.7382,88628,5,70352,0.0448379,0.65
"MyFixtureLearned/TestBloomFilterStringQuery/3/17",1,4.71475e+09,4.71199e+09,ns,,,,,,4.61836,88628,5,70352,0.0448379,0.675
"MyFixtureLearned/TestBloomFilterStringQuery/3/18",1,4.77703e+09,4.7733e+09,ns,,,,,,4.29572,88628,5,70352,0.0448379,0.7
"MyFixtureLearned/TestBloomFilterStringQuery/3/19",1,4.73195e+09,4.72859e+09,ns,,,,,,3.97308,88628,5,70352,0.0448379,0.725
"MyFixtureLearned/TestBloomFilterStringQuery/3/20",1,4.65296e+09,4.65074e+09,ns,,,,,,3.86246,88628,5,70352,0.0448379,0.75
"MyFixtureLearned/TestBloomFilterStringQuery/3/21",1,4.67189e+09,4.66948e+09,ns,,,,,,3.66888,88628,5,70352,0.0448379,0.775
"MyFixtureLearned/TestBloomFilterStringQuery/3/22",1,5.07352e+09,5.06437e+09,ns,,,,,,3.38311,88628,5,70352,0.0448379,0.8
"MyFixtureLearned/TestBloomFilterStringQuery/3/23",1,4.71497e+09,4.71109e+09,ns,,,,,,3.20796,88628,5,70352,0.0448379,0.825
"MyFixtureLearned/TestBloomFilterStringQuery/3/24",1,4.7612e+09,4.75711e+09,ns,,,,,,2.87611,88628,5,70352,0.0448379,0.85
"MyFixtureLearned/TestBloomFilterStringQuery/3/25",1,4.7791e+09,4.77664e+09,ns,,,,,,2.61799,88628,5,70352,0.0448379,0.875
"MyFixtureLearned/TestBloomFilterStringQuery/3/26",1,4.86956e+09,4.86307e+09,ns,,,,,,2.31379,88628,5,70352,0.0448379,0.9
"MyFixtureLearned/TestBloomFilterStringQuery/3/27",1,4.82551e+09,4.82109e+09,ns,,,,,,2.12942,88628,5,70352,0.0448379,0.925
"MyFixtureLearned/TestBloomFilterStringQuery/3/28",1,4.71815e+09,4.71545e+09,ns,,,,,,1.87131,88628,5,70352,0.0448379,0.95
